Date,Link,Title,Core Message,Excerpt,Suggested By
,Why Do We Often Require Somebody's Company With Youth,Why Are We So Hungry For Company?,Needing Company,"We are hungry for company because we are what the world is giving to us. So, if the world becomes absent then there is a danger that we will no longer be there. We always need validation, sanction, approval. To live as a function of all the forces and faces around you is non-living. The man who has found even a trace of that ‘I’ness, will not be desperate for company.",Sneha
,Climate Change: Who’s the Real Culprit?,"Is Climate Change a Technological Problem?
Can Technology Curb Climate Change?
",Climate change needs spiritual solution,"Climate change is not a problem of wrong technology but of wrong mentality—a spiritual problem. No technological improvement alone can curb carbon emissions. The solution must come from an awakening of mass consciousness. People must awaken and elect governments that listen to awakened voices. The challenge is great, but so are the rewards—you are saving not just yourself, your family, or your nation, but the entire planet.",Sarita
,Don’t Blindly Rush into ‘Good’ Deeds,The Root Cause of Climate Catastrophe,"Climate change has only spiritual solution, Not trees plantation and activism","At the root of the climate catastrophe lies man’s tendency to consume. Unless you educate the ego about who it really is, it will keep proceeding in the direction of blind consumerism. We need two things: One, less population. Secondly, the population that remains, must remain highly spiritual. Lack of spiritual education has brought this catastrophe upon us. That is the only problem, and therefore, that has to be the only solution.",Sarita
,"Hidden Lies Behind Success, Love, and Ego!",How to Know the Right Act of Love?,"FOMO Culture, musical concerts- are they acts of love? Or attending gita session is love?","When a fellow professes love to you, it's not that you don’t know it’s not love; you just find it convenient and choose to be fooled. Only a liberated one will present facts. Anything anyone else brings deserves thorough investigation. You are so full of desires that they stop you from even asking questions. You don’t need knowledge or to be a scholar—but you do need to have questions.",Sarita
,For Those Who Think a Lot About the Future,How to Stop Needlessly Worrying?,"Overthinking and past experiences, how to overcome.","Whenever you are thinking, it is with respect to something that may happen in the future or something that you need to do in the future. In the light of understanding, simply do what needs to be done right now. As your energy starts flowing in that direction, there is less and less space, energy, and opportunity available to needlessly worry.",Sarita
,Why Don't Indian Women Pay on Dates?,Why Don't Indian Women Pay on Dates?,Indian Women not paying on dates and men not asking for payment.,"Traditionally, women have been trained to be at home, while men have been conditioned to be breadwinners. The forces of conditioning cut both ways. Both parties are merely playing pre-scripted roles, shaped by their bodies and society. And if both the parties are just playing out these roles, how can love exist?

You are not you. You are the one manufactured by your body and trained by your society. And so is she,",Sarita
,A Spiritual Method for the Courageous Ones!,What Is The Right Sādhanā For Me?,"Sādhanā is to find a higher purpose, a Sādhya.","For Sādhanā , there has to be a Sādhya - a great purpose that is worth achieving. First, it starts with negating and honestly accepting that the way you are living is not worth it. Then, you figure out a high, higher, and even higher purpose to live for. This alone is Sādhanā.",Sudeep
,,What Is Sādhanā?,"How to start a sadhana, what is sadhana?","Sādhanā starts with the process of negation. First of all, you negate the way you are already living, and once you have honestly accepted that the way you are living is not worth it, then you figure out a higher purpose to live for; that alone is Sādhanā. You do not even need a ‘guide within.’ You only need honesty within.",Sarita
,How To Embrace and Accept Homosexual Desires In Daily Life,Are Homesexual And Heterosexual Desires Different?,Homosexual desires,"How does it matter whether you are homosexual or heterosexual? You're still body-identified. The lust for the body is still there. If one has homosexual desires, they are desires. If a man lusts after a woman, that too is a desire. And neither of these desires takes you anywhere. The superior being is the one who stops running after the body.",Sneha
,How to Break Free from the Trap of Seeking External Validation?,Why Do We Constantly Seek Validation In Our Relationships?,Seeking external validation is a result of not knowing oneself.,"We're made in a way that we'll always have a relationship with the external world. But the relationship can be of two very different kinds. One, where you operate from a center of inner ignorance, and so, it becomes necessary to depend on the other to gain strength. And second, when you know yourself within, and so, you're able to relate to others with the purpose of offering strength.",Sudeep
,"Hidden Lies Behind Success, Love, and Ego!",Why Are You So Gullible?,Your desires make you lie to yourself and impede the ability to see through others' lies.,"When everybody is driven by petty self-interest, why is anybody going to bring you the truth? That's not surprising. Rather, what is surprising is that you still choose to believe others blindly; not because you don't know that they're lying, it's just that  questioning the lie might impede the fulfillment of your desires. Anything that anybody else brings to you deserves thorough investigation.",Sudeep
,Do You Know the Heart's Deepest Desire?,Decoding Dreams And Desires,"Decoding our dreams deeply will show us what we really seek, a point of perfection.","Dreams arise from internal restlessness and a deep subconscious desire; there is nothing wrong with that. But, if that desire is not understood properly, you'll end up chasing the wrong objects by assuming that the objects of your dreams are all that you want. So, don't take your dreams at face value. Go deep and see what your heart really longs for. A hint: even though our dreams appear different, there is only One point that we all seek. Dreams can guide you only if you read them properly.",Sudeep
,Understanding Science of Reincarnation,Reincarnation: Science or False Belief?,Is Reincarnation scientifically proven that it exists?,The scientific community takes it as something of a joke. Studies have been done but those studies have amounted to nothing. When you are living an unfulfilled life then the concept of reincarnation comes as a saviour because you think you deserve the bondage and there is no need to fight. It prevents you from bringing meaning to this one life that you have. The Gita very forcefully destroys this concept.,Sarita
,Learn to cheat the ego ,How To Break Free of Habits?,"Habits, decision making","As long as one is alive, habits will remain. Nature gave us habits for the sake of efficiency. In habits, there is no decision-making involved. You just do it. So habit is not a problem, the problem is that we are habituated in the wrong things. Be habituated towards the Truth. Towards Freedom. Be habituated towards keeping it simple and straight. Let these be your habits.",Vadiraj
,Religion and Violence,Riots and Why We Need the Bhagavad Gita,Riots happening in the name of religion,"We talk of the 10, 20, or 100 fellows indulging in active rioting but not of the thousands and lakhs who passively support them. Behind active violence lies passive toxicity. Had they known that displaying perverse attitudes in religion’s name would lead to social ostracism, would they still dare? We will fight because we are animals and that's why we need the Bhagavad Gita to curb violence.",Sarita
,How to drop all fakeness and masks,"How to Drop All Fakeness?

How to Be Real?
",Khalil Gibran-about dropping fakeness and be maskless,"Because the world only knew the masks, it could manipulate only the masks. Find someone on earth who makes you drop your masks by any means. Since you understand the language of temptation and fear, so he will have to sometimes tempt you or sometimes threaten you. And then you must love your maskless state so much that you decide to remain maskless. Love, difficult love, demanding love! - That is what is needed.",Sarita
,Man Likes to be Governed by Morality Rather than Spirituality,Why Do We Prefer Morality Over True Spirituality?,"Morality is just absorbed without discretion, spirituality requires discretion to accept.","There is some kind of deep fear that keeps us all terrified that things can go wrong any time. And there is some kind of inner laziness that makes us not want to figure out our own direction. So, we choose morality that comes in with a ready-made action plan. But we never accepted it, we just absorbed it without the application of discretion. 99% of what goes around in the name of religion or spirituality is just stale morality.",Sudeep
,Know your root problem,Is Capitalism the Root Cause Behind Our Problems?,Capitalism - the root cause behind all the problems?,"It’s not capitalism versus socialism; if the center I am operating from is itself animalistic, then I will want to earn profits for myself, whatever be the social cost. The change that we need is inward- ‘self-knowledge’. We need an education system in which the child is very openly helped to face his/her animalistic nature, then we will develop a certain humility to look for solutions beyond our tendencies.",Sarita
,Why is Religion Obsessed with Sex?,"How to Break Free from Gender Obsession?

Understand Rather Getting Obsessed
",Morality- distancing from other gender.,"Just as you want to know of everything in the universe, you must also know women and women must also know men. And that cannot happen if your mediocre kind of morality keeps you at a distance from the other gender. Have easy relationships with both the genders. Do not make sex such a big thing. If sex comes as an output of an easy relationship, it is okay. If it does not come your entire life, that too is okay. ",Sarita
,The stigma of impurity associated with menstrual days ,"Taboo Around Menstruation Cycles

Are Women Impure During Menstruation?
","Women not allowed to go to temples during menstruation, menstruation taboo","No woman ever chooses to menstruate. It happens. So how can she be held guilty, or responsible, or unclean? It is quite unfortunate that it has become taboo with so many women. The genesis of the whole thing is in physical purity. And that refers not merely to the menstrual discharge, but also to all kinds discharges that the body emits. It’s not a matter of spirituality, it’s a matter of hygiene and aesthetics.",Sarita
,How to read the scriptures?,"
To Understnad The Quran, Go To It With A Clean Mind","Quran, Scriptures, Religion, Interpretation","Before you go to the Quran you must first be in a condition to understand what it is saying. The center of Quran is *Tauheed* – Oneness.  Quran can be understood only when you—as the ego mind, are connected to the same source that blessed the Prophet. Remaining what you are, if you apply your intellect to the scriptures, you will obviously distort the scriptures. ",Vadiraj
,There is nothing called a new beginning,New Year And New Beginnings Will Not Help You,"Past, Future, New","One seeks change because one is not satisfied. One is attracted by new beginnings, because one is not quite alright with his current state. No activity, no beginning, nothing new will help. Do not place your hopes on the next big thing. The past that shapes us does not end, but continues by renaming itself as the future. You need termination, not a beginning. 
OR
One seeks change because one is not satisfied. One is attracted by new beginnings, because one is not quite alright with his current state. No activity, no beginning, nothing new will help. The past that shapes us does not end, but continues by renaming itself as the future. You do not need the beginning of a new pattern. You need termination from all patterns.",Vadiraj
,What is the right decision? || (2020),What Is The Right Decision?,Decisions made from the center of heartful intelligence are the right ones.,You can choose from your heartful intelligence or from your conditioned self. Most people allow their decisions to come from their conditioned self because it hardly requires any effort - it's comfortable. The option to operate from the center of heartful intelligence is rarely chosen because there is a price to pay - we don't want to work for it. But this is the option that brings liberation to you.,Sudeep
,Spirituality is basic honesty,"How To Lead A Spiritual Life?

OR

Spirituality Is Basic Honesty","Spirituality, Honesty","The distinction between spiritual life and worldly life is a false distinction. Spirituality is not morality or a set of commandments. It is never instructive. You do not need great formulations or special practices. Spirituality is basic honesty. Just see and acknowledge what is going on, and then the right action follows. Nothing else is needed. ",Vadiraj
,How To Control One's Anger?,Why Do We Feel Guilty About Being Angry,Anger,"In trying to control anger, you are giving yourself energy to act the same way. Constantly thinking of anger is a cunning way of thinking of anger. You have been told that anger is bad. But anger is seductive. So now you think of anger by telling yourself not to be angry. Do not ask, “Why did I get angry?” Ask, “Why does guilt arise? If there is completeness in anger, it will be transformed.",Sneha
,Desire Or Surrender? The Hidden Truth Of Karma!,What Is The Right Desire?,Desire,"Start with asking where your bondages are. Once you know where you are chained, you already have the right desire. The right desire is to break the chain. The right desire is a desire to be free, to be at ease, to be able to flow. To be without fear, that is the right desire. In the right desire, the desire of the person gets aligned with a purpose beyond the person. And this is called surrender.",Sneha
,Do Vegan Athletes Really Avoid Animal Cruelty?,Do “Vegans” Not Inflict Animal Cruelty?,Animal Cruelty,"You have a 600 kg animal and you cut it and every bit of 600 kg is put to use somewhere. There is hardly any industrial product that is totally free of animal cruelty. Saving the life of one buffalo makes you feel good about yourself but does no favor to the animals. If you really want to make a difference, then you will have to attack the problem at its center and the center is lack of self-knowledge.",Sneha
,Non-violence is to fight that which makes you forget the Truth || On Advait Vedanta (2019),Is It Possible To Be Non-Violent In Today's World?,Non-violence is not about the 'other' at all. it is about self-knowledge that makes you not treat the other as the 'other'.,"Non-violence does not mean being good to others or turning the other cheek; this is a naive interpretation of non-violence. In fact, non-violence does not have much to do with the ""other"" at all. It is actually about self-knowledge. If you know yourself, then you're not afraid. And if you're not afraid, you don't treat the other as the ""other"" at all. With this realization, do what you must - this is non-violence.",Sudeep
,"(Gita-28) The Most Misunderstood Verse of the Bhagavad Gita

https://acharyaprashant.org/en/articles/karmanya-vaadhikaaraste-1_f80d3f9",How can I not worry about the future?,What is the action without expectations,"From the center of confusion, you want to have control over results, and you have none. From the center of clarity, you see that control is a myth and therefore the desire to have deterministic future is dropped. If you exist, you'll have to fret over the future. Not possible to be free. The only way to be free of the future is to be free of yourself. I exist and I move in harmony with prakriti.",Alok
,"Chaos inside is the catastrophe outside || Acharya Prashant, International Psychology Summit (2023)","A Surge In Global Crises - The Reason And Solution

More And More Severe Catastrophes - The Reason And Solution

Global Catastropes And Chaos",Our inner chaos is manifested as external catastrophes sometimes. The only solution is to go inwards and understand what has brought us to this point. ,"We are born with senses that are designed to look outwards, not inwards. And our upbringing tells us that the purpose of life is to be happy, and that happiness is obtained by external acquisitions. The result is inner chaos that is also visible externally sometimes in the form of wars, nuclear disasters, the climate catastrophe, etc. So, the way out is to go inwards and understand what brings us to this point.",Sudeep
,Why Are IITs Always in the News for the Wrong Reasons?,Does Ambedkar's Legacy Support Vegan Principles?,"It is an IIT bombay issue, brahamanism and against vegetarianism, but the core is animal cruelty in context of Ambedkar and Periyar.","Dr. Ambedkar stood for the oppressed and there is nobody more oppressed in the world today than these little kids from various species. If you’re an Ambedkarite, you should be the first one to turn vegan, because oppression should also not see caste, gender, color or species. It is very bad when a human being is oppressed. Is it also not equally terrible when a sheep, or a goat, or a chicken, or a fish, or a pig is slaughtered?",Sarita
,Chaos inside is the catastrophe outside,"Chaos Inside, Catastrophe Outside",Lack of internal knowledge leads to external crisis.,"We are all badly messed up within. The result of this inner chaos is visible externally, on a gross level, as climate catastrophe. All this is due to a very hollow philosophy of life and the absence of self education, which keeps us oblivious of the environment within. If we can understand what brings us to this point, it becomes very clear how to go beyond.",Vadiraj
,"There Are No Imperfections, There Are Only Illusions
https://acharyaprashant.org/en/articles/there-are-no-imperfections-there-are-only-illusions-1_ac91bd3",Am I unworthy?,Our imperfections are just illusions,"Even in ignorance, you are no less than the supreme. You don’t have to achieve that. You still are that with all your ignorance, anger and your immaturity. There is no question of development. There can only be a realization, that I am already developed. The society can exploit you today because you are what you think you are. After realization, you look at the society and laugh.",Alok
,Is Time Travel Possible?,The Myth of Women's Sixth Sense,Question starts from time travel (a short discussion) and then to sixth sense. Chose sixth sense because of more audience interest.,"Women claim to have a more active sixth sense because, historically, they needed protection due to pregnancy and helplessness. They relied on instinct to survive. But today, this is no longer necessary—your wisdom matters more than any sense. Do not depend on thoughts, emotions, or instincts; they are merely biological and unreliable. Inquire, be a witness of the mind; in that, the knowers say, is completeness.",Sarita
,How to Use Prakriti for Liberation?,"Beyond All Traps: Transcending Sattva, Rajas, and Tamas",Three Gunas: Gita to go beyond all three.,"Gita or Vedanta have nothing to do with sāttvikta. Even sāttvikta is to be rejected as destiny, while even rājasikta is to be embraced if it serves as a means to freedom. Even sattva can become an object of consumption—don’t we see learned people whose knowledge becomes their identity? The Gita is about breaking all traps, moving beyond ensnarement—be it sattva, rajas, tamas, or anything.",Sarita
,The effect of spirituality on married life,Can Marriage and Spirituality go together? ,What is the effect of Spirituality on marriage?,"The way the very institution of marriage is defined, it’s a crazy thing. Spiritual togetherness will not only take the poison out of the marriage, but actually turn the marriage into something immensely beautiful. If the two persons who are in this social arrangement of marriage are also spiritual friends, then they rise above social arrangement.",Sarita
,Is Time Travel Possible?,Is Time Travel Or Timelessness Possible?,Time travel is a fantasy because the future is determined by our choices.,"The future comes from the choices that you make today because you are a creature of choice. If you were not a creature of choice, then everything would have been predetermined. But you are a conscious person and by definition, consciousness is choice. So, if you say that you are travelling into the future, which particular future are you traveling into? Time travel is just a fantasy - a nice thing to entertain the mind. There’s not much more in it.",Sudeep
,Getting Rid of Recurring Thoughts and Mental Patterns,"
How To Deal With Recurring Thoughts?
","Mental patterns- how to come out of it and then the question continues to Who Am I, took the 1st question of mental pattern","If you will think in terms of what to do with what’s going on in the mind, then you’re only providing it with more energy. Involve yourself with something so humongous that you cannot ignore it even for a second and then all the petty kinds of little thoughts that invade the mind and clutter it, you’ll find that they don’t have space, they are crowded out. Thought is important, and one needs a higher object to think about.",Sarita
,The economics of spirituality,How Real Economics Must Work?,"If everybody becomes spiritual, won’t the world’s economic system collapse?","All that uplifts you is valuable and all that drags you down is valueless. What is the value of an expensive mobile to me? I must know what it is going to do to my consciousness, what is the purpose I am going to use it for. If it is going to help you in the inner sense, get it at whatever cost possible; and if it corrupts you inwardly, throw it away even if you get it for free. That’s how real economics must work. If man changes, economics will change; it will not disappear.

OR

All that uplifts you is valuable and all that drags you down is valueless. That’s how all goods and services in the economy must be assessed. If it is going to help you in the inner sense, get it at whatever cost possible; and if it corrupts you inwardly, throw it away even if you get it for free. That’s how real economics must work. If man changes, economics will change; it will not disappear.",Sarita
,How India Pays the Price for America’s Climate Negligence,"The American Dream, The Indian Draught
OR
The Rich Pollute, The Poor Suffer
OR 
America Pollutes, India Suffers","Climate Injustice - Welathiest countries eat the pie, poor countries pay the bill","United States contributes 25% of excess carbon emissions with just 4% of the world’s population. This is called climate injustice, where the wealthiest nations contribute the most carbon, while the poorest countries suffer the worst effects. 
Climate change is the result of our compulsive desire to consume mindlessly. The solution is not just in better policies—it is in becoming self-aware.",Vadiraj
,"Becoming an entrepreneur || Acharya Prashant, DTU session (2020)",Who Is A Good Entrepreneur?,"Good entrepreneurship is about the right mission, not about personal consumption and aggrandizement.","If you start something for your personal aggrandizement, then it's a curse to humanity and yourself. Whereas if you have a larger purpose, then it makes sense to start. We need wise and able entrepreneurs because there is a lot that needs to be fixed. But remember that wisdom comes first and ability can be developed over time. The purpose of entrepreneurship is to come to a meaning in life. Therefore, it has to be a lifelong love affair.",Sudeep
,Does corporate life dehumanize the workers?,"Quit Deforesting, Quit Reforesting
OR
Nature's Fine. You’re Not.","Leave Nature alone. You can't take care of yourself, how will you take care of Nature","Sometimes you say that I am hacking the jungle down. Sometimes you say “Oh I am now going for reforestation.” You neither need to deforest nor reforest. You leave the forest alone, it will take care of itself. Do you know what you need in life? How do you know what the forest needs? But the ego and its arrogance know no limits. Hands off! That's what is needed. ",Vadiraj
,Tree Plantation is False Climate Activism,Can planting trees solve global warming?,Effectiveness of planting trees on climate crisis,"It is very well known that one tree over the course of forty years would absorb just one ton of carbon dioxide. In one year, it absorbs 0.025 tons. Whereas, having one less child causes a difference of sixty tons per year. Now, do you want to happily plant trees and then go home and have a child? Misplaced climate activism is not solving the problem; it is a part of the problem.",Alok
,"How to change the Inner Climate? || with Bard College (2022)
https://acharyaprashant.org/en/articles/how-to-change-the-inner-climate-with-bard-college-1_00f825d",How to educate people about climate change?,Addressing climate crisis,"Today most of what we are getting is misleading information, or distracting information. If you want to rationally convince people about the climate emergency, you might not see much success. We have to begin with observing the facts of life. We are doing what our grand forefathers were doing, just in an amplified way. They never got anything out of that; how will we get anything?",Alok
,"Does corporate life dehumanize the workers? || Acharya Prashant, at IIM Bangalore (2022)",Escaping The Trap Of Destructive Corporations,Knowing yourself lets you choose the right jobs that are not an abuse of your life and consciousness,"Before students choose jobs, there has to be a sufficiently long workshop that takes up case studies pertaining to regular employers, their environmental record, and how consciousness friendly they are. Otherwise, students will end up serving the same corporations that are directly or indirectly responsible for much of the tragedy unfolding before us today.",Sudeep
,Man's inner ignorance is global climate catastrophe || Acharya Prashant (2019),Your Emotions Are Responsible For The Climate Catastrophe,"Climate change is a problem of consumption and consumption is caused by operating from an emotional center, rather than a spiritual center.","Whenever you become emotional, you start releasing carbon and cause climate change. When one is emotional, he may drink, or party, or go on a foreign trip, or create a nest of his own with two kids - all of this is carbon emissions in a big way. This is because if you don't provide liberation to a man, his energy flows in the direction of consumption. And consumption is carbon emissions and climate change. The solution to this is nothing but true spirituality.",Sudeep
,"Your hero is a scoundrel || Acharya Prashant, at IIT-Bombay (2022)",Your Role Models Are Destroying The Planet,Our role models reflect our ideal of consumption and the result is catastrophic climate change.,"Your role models are unworthy people. They're your role models only because you aspire to consume as much as them. Notice how they either display their ability to consume or they present themselves as stuff to be consumed. So, when consumption is the ideal that we have been taught, the result is catastrophic climate change. So, don’t just be driven to anything that appears attractive; choose your role models very carefully - it's got something to do with Love.",Sudeep
,"Acharya Prashant meets his teacher Dr. Trilochan Sastry: Religion, Democracy & Constitution",Why was Ambedkar against Hinduism?,Ambedkar was against popular Hindu culture based on Smruti texts. Ambedkar was never against Vedanta ,"Dr. Ambedkar, one of the greatest  minds of modern India, had problems with Hindu culture, but not with Vedanta. Our culture is based on the very periphery of religion and does not resonate with Vedanta. That's the reason it is in conflict with the Constitution.  Constitution and true religiosity, which you can call as self-knowledge or Vedanta, they go together.",Vadiraj
,Can Vedanta Address the Problem of Economic Recession?,Yet Another Stock Market Crash?,Economics does not address the fundamental human problems of ignorance and greed.,"Economic bubbles have nothing but human ignorance and greed at their core. If we could only invest where there is real value, there wouldn't be any bubbles at all. However, intelligence becomes lame when emotions rule; greed will totally obfuscate your intelligence. And economics does not address the problem of ignorance and greed. It's the Upanishads and Gita that address this problem.",Sudeep
,"What can ChatGPT not do?
\https://acharyaprashant.org/en/articles/what-can-chatgpt-not-do-1_de9b296",Will AI take away my job?,AI and threat to employment,"AI has no consciousness; it can only do what it is programmed to do. They are just programmed reactions. If you are in a job that involves this kind of programmable, role your job would be threatened by AI. Human beings, by definition, must be in actions that involve creativity. Machines can never understand. Why were you not into jobs that involved understanding or creativity?",Alok
,"Why do we want to ‘see’ first and then believe? || Acharya Prashant, on Jesus Christ",Doubting Thomas: Did Christ Resurrect?,Faith has to be absolutely reasonless. Faith of Thomas is founded on reasons. It is not a perfect faith. ,"Only the man who believes in the world that he sees with his eyes would want the proof of Godliness admissible through the eyes. Such doubting Thomases do not see that what the eyes see is not really true. Only a Christ can tell you what is True and what is false. And if you are suspecting Christ himself, there is nobody who can now tell you the difference.",Vadiraj
,Why am I unable to be involved in my work?,"Boring Weekdays, Happening Weekends
OR
Weekday Blues, Weekend Highs",Work is Play and Play is work.,"Can a man who is bored during the weekdays suddenly become lively over the weekend? Why is there a separation? There is work and then there is something else. It means you do not know what you are doing. When you have no real relationship with your work, you do not have any relationship with yourself, and all your life you are just seeking holidays.",Vadiraj
,Why is Jesus asking to hate one's life?,When Jesus Said: Hate Your Family And Your Life,When we love we chain each other. When God loves us he sets us free. Love each other like the Father loves us.,"Jesus  is not a hater of persons. He is saying hate the way you have become. The Bible  is not a document of hate, the central message is of Love. But when we love, we chain each other. When God loves us, He sets us free. So Jesus is saying to hate the way we relate to each other — because our love is not Godly. Love each other just as God the Father has loved you. ",Vadiraj
,Taking feelings seriously?,Should You Trust You Feelings?,Feelings come from conditioning and the wise are not slaves of any type of conditioning. ,"When feelings surge in your mind and body, be careful and pay attention! This is the moment when you lose the plot! The initial surge of energy that a feeling has is beyond your consciousness and control; it is determined mostly by your conditioning and partly by your genes. So, don't add conscious energy to the unconscious uprising. The most important mark of a wise man is that he does not live by feelings. You can give feelings any name; they remain the same.",Sudeep
,When will life be sorted for good? || BITS Pilani (2022),"When will life be sorted for good?
",Life will never be fully sorted so learn to love the battle.,"There has never, ever been anybody 100% sorted. There are always challenges, and those challenges arise from the body itself; your enemy is within you, and it will remain as long as you are alive. So, learn to revel in this situation — it's called life. And instead of asking for a final victory, start asking for a good battle — battles where, even in your pain, you can say, “This one was good!”",Sudeep
,"Rising Strong, Defeating Overthinking","Leap Before You're Sure
OR
Clarity Begins Where Overthinking Ends",We have to take action even if we are not 100% sure. Aboslute certainty is a myth.,"You will never be 100% certain. There would always be an iota of doubt, but you have to proceed to do what you believe to be right. Those who have made great, heartful attempts, even in unwise directions, have been relatively quicker in coming to the Truth because they tested out their hypothesis. If you wait for absolute clarity, you are just denying your own potential.",Vadiraj
,"Cosmetic Face, Cosmetic Life","Makeup And Masks

OR

Hiding Behind Cosmetics?

OR

The Rise Of A Cosmetic Society",Cosmetics are a way to mask the inner void that we are all looking to fill.,"It's one thing to take care of the body so that it doesn't interfere with your creative endeavours. And it is another thing entirely to put on makeup to enhance your value in other people's eyes. When you don't have value within, you put artificial value upon yourself as a compensation. But looking colorful on the outside does not help with the inward barreness. And ultimately, it is the inner color, vigour, truth, and love that we are all looking for.",Sudeep
,The Fear Of One's Own Existence,You Are A Servant Of Your Mind,Don’t trust someone who is a servant of his Mind,"The common mind is fragmented, one part of the mind is dominated by one power, another part by a totally different power. People make resolutions and then they can't live up to them, because the part that resolves to do something is no more the dominant part after a few days or hours. And that's also the reason why they are not dependable. Trust only the one who is a master of his mind, not a servant.",Sneha
,"Parents, Apologize To Your Children","Parents, Apologize To Your Children!
OR
What Are A Parent's Responsibilities?
OR 
What Is A Parent's Duty?",Parents are indebted to the child's liberation because they brought him into a world of suffering. ,"A child is born as someone to whom the parents are deeply indebted because they have committed the mistake of bringing another person into a world of agony, longing, and suffering. There was nobody to suffer, and you unnecessarily brought suffering into the world. Now the least you can do is to give the child the conditions that would enable his or her liberation from suffering.",Sudeep
,The total is neither masculine or feminine hence the search and summit of both,Why Do We Give Duality Names?,We like giving names to duality to strengthen our tendencies and preferences,"What ‘is’, is non-dual, what is dualistic, is not. The two ends of that duality can be given any name (like masculine and feminine, black and white), but there is only one duality, called “duality”. We give duality names according to our own inclinations and preferences which further strengthen them. Just know that this is dualistic, don’t give it names.
",Sneha
